A	ぁ,ァ
oki	冲,澳,燠,居,順,沖,興,修,煕,置
okina	叟,翁
okite	掟
okitu	冲,沖
oko	勃,煽,熾,發,興,発,行,怒,起
okoTU	興
okona	行
okori	瘧
okota	嬾,懈,怠
okotaru	懶
oku	噫,奧,檍,歸,沃,澳,皈,穉,臆,貽,遲,餽,饋,遅,後,憶,帰,送,屋,億,奥,贈
okubi	噫
okubuka	邃
okugaki	跋
okumi	衽,袵
okurina	諡,謚
okusuru	臆
okute	稚
omi	臣
omo	侖,惟,懷,謂,懐,主,想,沢,面,重,思
omoera	思
omoga	羇,羈,覊
omokage	俤
omomu	趨,徐,赴,趣
omomuki	况,況,趣
omone	佞,侫,阿
omonpaka	慮
omonpaku	慮
omori	權,錘,権
omote	表,面
on	厭,吽,怨,慍,牡,瘟,穩,苑,蔭,薀,薗,袁,褞,諳,闇,隱,飮,鰛,鰮,鴛,穏,遠,恩,雄,園,音,隠,御,奥,飲,温
ona	翁,同,女
onagazaru	禺
onamomi	葹
onara	屁
oni	鬼,遠
oniyarai	儺
onna	女
ono	斤,斧,自
onono	慄,戰,戦
ononoku	栗
onoono	各
onore	己
oo	丕,冢,凰,嚶,夛,奄,姶,媼,嫗,屏,巾,庇,掩,枉,殃,汪,泓,泱,瓮,甌,盍,盖,碩,稠,葢,蒙,蓊,蓋,蔽,邑,閹,鸚,仰,帽,王,皇,欧,衆,覆,太,被,松,大,奥,近,正,多,巨
oodate	櫓
ooduna	紘
ooga	頁
oogame	鰲,鼇
oogi	扇
oogo	朸
oogoto	瑟
ookami	狼
ooki	傀,厖,浩
ookimi	王
oomune	梗
oonira	茘
oosi	繽
ooti	楝,樗
ootori	凰,鳳,鴻,鵬
ooyake	公
ooyumi	弩
oozato	邑
oozi	逵
oozika	麈
ore	俺
ori	匂,檻,滓,澱,織,折
oro	愚,卸
oroga	拜,拝
oroka	呆,妛,痴,癡,魯
orosi	颪,卸
oroti	蟒,蠎
osa	乂,亂,佰,厭,壓,孟,尹,扼,按,摂,撥,攝,收,斂,熨,畧,穉,筬,綜,脩,艾,藏,酋,釐,乱,治,略,圧,押,蔵,修,長,収,抑,納
osae	鎭,鎮
osaka	刑
osamu	乃,脩,靖,理,順,攻,紀,磨,修
osana	幼
osanai	孺,稚
osi	吝,唖,嗇,慳,誨,鴛,忍,押,訓,排,教
osidori	鴛
osikiuo	魴
oso	兇,兢,怕,怯,恟,悚,惧,惴,惶,慄,慴,懼,懾,晏,畏,瞿,竦,輓,遲,遅,忙,怖,襲,教,恐
osore	虞
ossya	仰
osu	牡,押,雄,足
osya	長
osyaberi	嗹
oti	墮,殞,隕,落
otii	陷,陥
oto	乙,貶,劣,月,音,二
otogai	頤
otoko	郎,男
otokodate	侠
otokoyomogi	蔚
otori	囮
otoro	衰
otosi	貶
otosiana	穽
otosii	陷,陥
otouto	弟
otozu	訪
otto	夫
otu	乙,榲,膃,越
ou	凰,凹,匡,區,厭,嘔,嚶,墺,壓,夭,奧,姶,媼,嫗,尢,徃,怏,應,懊,扇,拗,旺,枉,櫻,歐,殃,毆,汪,泓,泱,澳,燠,狎,瓮,甌,甕,秧,罌,翁,膺,蓊,襖,謳,逢,邑,鏖,鞅,鴎,鴦,鴨,鴬,鶯,鸚,黌,殴,鷹,相,圧,押,玉,王,皇,央,欧,横,往,黄,応,桜,大,奥,近,区
ougi	扇
ougo	朸
oumu	概
ouna	媼,嫗
outi	楝,樗,欒
ouyo	凡
ouzi	皇
owa	畢,竟,竣,終
owasu	坐
oya	押,親
oyayubi	拇
oyazi	爺
oyo	凡,曁,游,迄,及,泳
oyobi	及
oyogu	泅
ozika	麌
oziru	怯
p	っ,ッ
pa	パ,ぱ,童
pai	牌
pe	瓶,ペ,ぺ,部
peezi	頁
pi	妃,ピ,ぴ
piTU	比
po	ポ,ぽ,暮
pon	椪,先
pondo	听,磅
ppana	放
pu	プ,ぷ
pya	ぴゃ,ピャ
pyo	ぴょ,ピョ
pyu	ぴゅ,ピュ
ra	喇,拉,瘰,罹,薇,蘭,蘿,螺,蠡,裸,邏,鑼,騾,羅,乱,等,ら,ラ,良,英,楽,柄,荒,村,原,願
rai	來,儡,壘,徠,懶,擂,櫑,狸,瘰,癘,癩,磊,禮,籟,罍,耒,莉,莱,蕾,藾,蠡,貍,賚,醴,雷,塁,頼,洗,礼,瀬,来
raisuki	耒
raki	滝
rakkyou	薤
raku	擽,樂,洛,烙,犖,珞,酪,駱,絡,楽,落
ran	亂,儖,婪,嬾,巒,懍,懶,攬,欒,欖,漣,濫,瀾,燗,爛,籃,繿,纜,羝,藍,蘭,襤,襴,覽,醂,鑾,闌,鸞,乱,嵐,欄,卵,覧
ras	拉
rati	埒,埓
ratu	剌,喇,埒,埓,拉,溂,糲,辣
rau	劉
re	伶,玲,禮,黎,列,連,レ,れ,礼,令
reTU	列
rehu	猟,獵
rei	伶,儷,冽,勵,唳,囹,嶺,怜,捩,櫺,泪,洌,澪,犁,犂,玲,癘,砺,礪,禮,糲,綟,羚,聆,苓,茘,莅,莉,藜,蛉,蛎,蠡,蠣,醴,隷,隸,靈,驪,鱧,鴒,麗,黎,齡,龕,祈,戻,冷,涙,霊,励,零,黄,例,礼,鈴,令,齢
reidukuri	隶
reki	擽,暦,檪,櫟,櫪,瀝,癧,礫,轢,轣,靂,鬲,歴
rekki	歴
ren	匳,嗹,奩,廉,怜,憐,戀,攣,斂,楝,歛,漣,濂,瀲,煉,簾,縺,聨,聯,臉,臠,茘,蓮,賺,輦,錬,鏈,鰊,鎌,練,連,恋
renzi	櫺
retu	冽,唳,埒,埓,捩,洌,劣,烈,列,裂,律
ri	亥,俐,俚,吏,哩,悧,抄,浬,漓,犁,犂,狸,璃,痢,籬,罹,茘,莅,莉,莱,蜊,蠡,裡,詈,貍,釐,驪,鯉,麗,黎,黐,履,理,り,李,栗,合,離,リ,梨,美,人,利,荷,里,成,裏
riTU	栗
rie	江
rii	力,利
riki	仂,篥,力,働
riku	勠,戮,淕,蓼,陸,六
rin	侖,凛,凜,厘,吝,廩,悋,懍,棆,淋,淪,燐,琳,痳,禀,稟,綸,綾,罧,菻,藺,襴,躙,躪,鄰,醂,釐,霖,鱗,麟,臨,輪,林,倫,隣,鈴
riri	入
rissinben	心
riti	篥,律
rittoru	立
ritu	慄,篥,葎,立,栗,率,律
riu	竜
ro	侶,呂,婁,廬,枦,梠,櫓,櫚,櫨,滷,濾,瀘,爐,盧,粐,絽,膂,臚,舮,艢,艪,艫,蕗,蘆,褸,賂,輅,轤,鈩,鑢,鑪,閭,顱,驢,髏,魯,鱸,鷺,鹵,芦,虜,ロ,ろ,事,郎,朗,炉,路,露,納
roTU	六
roku	仂,勒,戮,淕,漉,碌,祿,禄,肋,轆,麓,陸,鹿,六,録,働,緑
ron	亂,侖,崘,崙,淪,乱,論
roo	郎
rotu	六
rou	僂,勞,咾,哢,喨,壟,婁,弄,拉,摺,撈,撩,朖,朧,柆,楞,楼,榔,槞,樓,檪,櫟,潦,瀧,牢,狼,琅,瑯,瓏,瘻,癆,稜,窶,篭,簍,籠,粮,縷,聾,臈,臘,莨,薐,蘢,蝋,螂,螻,褸,踉,醪,鏤,鑞,陋,隴,廊,滝,老,蔵,糧,良,郎,朗,浪,漏,竜,龍,労,桜,露
rousoku	蝋
ru	僂,劉,嚠,婁,屡,弄,榴,琉,瑠,璢,畄,瘤,瘻,窶,篭,簍,籠,縷,蕗,螻,褸,鏤,鰡,塁,留,る,児,路,ル,流,十
rugi	動
rui	壘,泪,瘰,縲,羸,耒,莅,誄,累,塁,類,涙
rumata	殳
ruri	瑠
rutubo	堝
ruuburu	畄,留
rya	りゃ,リャ
ryaku	掠,擽,畧,略
ryo	りょ,侶,呂,廬,梠,櫚,涼,濾,絽,膂,臚,鑢,閭,驢,虜,旅,リョ,良,慮
ryoku	仂,朸,力,働,緑
ryou	伶,倆,兩,凉,凌,喨,壟,寥,崚,嶺,廖,怜,掠,撈,撩,暸,杏,梁,椋,楞,榴,櫺,涼,燎,猟,獵,玲,瞭,稜,簗,粮,粱,綾,繆,繚,羚,聆,聊,苓,蓼,蔆,裲,諒,踉,輌,輛,遼,鐐,隴,靈,鬣,魎,鷯,亮,寮,陵,漁,養,僚,療,糧,霊,良,量,郎,竜,貞,龍,両,領,料,菱,了,令
ryu	りゅ,嶐,鉚,リュ,龍
ryuku	仂,働
ryuu	劉,嚠,戮,旒,榴,毓,游,溜,澑,瀏,犁,犂,琉,瑠,璢,畄,瘤,硫,窿,苙,鏐,霤,餾,鰡,粒,留,立,笠,生,竜,龍,流,柳,隆
s	っ,ッ
sa	乍,些,做,冱,决,冴,剳,厦,叉,呰,嗄,嗟,坐,娑,寤,嵯,嵳,廈,扠,扨,抄,挫,挿,捺,插,搓,摧,擘,柤,桟,梭,槎,沍,沙,渣,灑,炸,狹,猿,瑣,瑳,磋,磔,箚,簑,簔,紗,縒,苴,莎,蓑,螫,裟,覺,蹉,醒,釵,鍼,靫,靭,靱,鮓,鯊,鷦,點,齟,唆,笹,粧,詐,避,小,下,決,相,山,覚,冷,サ,さ,左,咲,寒,彩,狭,生,去,注,差,五,早,然,摩,佐,楽,沢,三,再,桜,浅,舎,裂,鎖,提,割,止,茶,謝,十,任,刺,査,砂,点,指,射,酒,里,道,来,作
saTU	粟,薩,幸,札,早,作
saba	捌,鯖,裁
sabi	寞,寥,淋,銹,錆,鏥,寂
sabu	纉,三
sada	奠,斷,禎,定,尊,貞,断
sae	冴,彩,朗,三,斎
saegi	遮
saeru	冴
saezu	哢,囀
saga	搜,相,捜,探,性
sagan	目
sagesu	蔑
sagi	匂,鷺
sagu	探
sai	伜,倅,偲,儕,凄,叉,塞,寨,崔,嵜,戝,截,搓,摧,擠,晒,樶,殆,洒,淒,淬,滓,濟,灑,犀,犲,猜,眥,眦,砌,砦,碎,碕,篩,簑,簔,綵,縡,纔,腮,臍,萃,萋,蓑,蔡,豺,賽,躋,采,釵,隹,雜,霽,靫,靭,靱,韲,顋,骰,鰓,齊,齋,齎,齏,哉,宰,才,砕,紫,載,最,妻,債,採,殺,催,彩,柴,栽,材,細,財,菜,三,崎,再,斉,斎,裁,井,歳,切,税,際,済,埼,祭,西,災
saina	嘖,苛
saiwa	倖,祚,祺,祿,禄,禎,禧,釐,幸
saka	圻,垠,榮,櫑,坂,逆,下,盛,祥,積,早,境,賢,阪,酒,栄,作
sakadaru	罍
sakaduki	盡,尽
sakae	昌,栄
sakai	畍,疆,堺,境
sakaki	榊
sakamiti	嶝
sakan	壯,奘,屬,弉,旺,殷,熾,壮,目,属,昌
sakana	肴,魚
sakanobo	溯,遡
sakanoboru	泝
sakara	忤
sakazuki	卮,巵,盃,盞,觚,觴,鍾,杯
sake	喊,嘖,嚆,號,鮭,叫,号,酒
sakenotukasa	酋
saki	尖,岬,嵜,徃,曩,碕,笹,幸,東,咲,前,往,輝,崎,埼,先
sakibarai	蹕
sakigake	魁
sakini	嚮
sakka	目,属
sako	硲,逧,迫,浴
saku	乍,做,册,劈,咋,嘖,愬,拆,捉,搾,數,朔,柞,柵,槊,溯,炸,窄,筰,筴,簀,胙,薊,遡,酢,醋,鑿,雀,齪,錯,削,冊,索,昨,策,数,作
sakura	櫻,桜
sakusa	咋
sama	樣,様
samata	碍,礙,妨
samayo	彷,徊,徘,徨
same	鮫,鯊,雨
sami	淋,寂
samu	凄,淒,皚,寒
samurai	侍,士
san	刪,參,孱,嶄,巉,彡,慘,懴,懺,戔,撒,撰,攅,斬,柵,桟,棧,槧,汕,潸,潺,燦,爨,珊,疝,盞,盡,竄,簒,簪,粲,繖,纂,纉,纔,芟,蒜,蔘,蚕,蠶,衫,讃,讒,讚,贊,跚,鏨,鑚,鑽,閂,霰,餐,饌,驂,傘,惨,賛,山,散,寒,様,尽,残,算,三,酸,参,操,杉,産
sana	實,眞,真
sanada	絛
sanagi	蛹
sanbongawa	川
sandukuri	彡
sane	實,実,真,重
sansyouuo	鯢
santi	珊
sanu	讃
sanzyuu	丗,卅,世
sao	棹,竿,操
sara	攫,晒,曝,浚,渫,濬,盒,皿,更
saragi	佛
sarasi	晒
saru	猴,猿,申
sasa	捧,笹,篠,朝,支
sasara	筅,簓
sasaya	囁,聶
sasi	緡,幸,蔵,刺,指
sasigane	矩
sasihasa	挟,挾,縉
sasimane	麾
sasiwatasi	徑,逕,径
sasizubata	麾
saso	哘,誘
sasori	蝎,蠍
sasu	剽,戡,指
sasuga	遉
sat	颯
sata	聡,定
sate	偖,扠,扨
sati	禎,薩,祐,幸,祥
sato	吏,喩,嶷,怜,怱,惺,慧,暁,曉,聡,聰,覺,觧,閭,黠,理,覚,央,悟,識,達,前,啓,聖,諭,賢,仁,郷,哲,誠,解,智,知,里,恵
satoi	慧,敏,智
satoru	學,慧,暁,聡,勘,理,識,哲,解,智,知,了
satosi	怜,慧,聡,聰,詔,啓,聖,賢,説,訓,哲,敏,省,智,恵
satoukibi	蔗
satu	册,刹,剳,囃,扎,拶,撒,箚,紮,薩,靫,靭,靱,颯,擦,札,殺,冊,察,五,刷,撮
satuka	目
satuki	皋,皐
sawa	噪,爽,猿,觸,譟,躁,醂,隰,騷,澤,障,早,沢,騒,触,川
sawaga	閙,騷,鬧
sawan	沢
sawara	椹,鰆
saya	莢,鞘,明,清
sayaka	明
saza	小,貞
sazanami	漣
sazi	匕,匙
sazinohi	匕
sazo	嘸
sazokasi	嘸
sazoya	嘸
sazu	授
se	丗,咳,數,灑,畆,畝,眥,眦,竸,脊,訶,誅,誚,謫,蹙,堰,灘,迫,所,背,攻,セ,せ,清,責,妹,競,谷,兄,聖,施,勢,稲,世,瀬,数,戦
seTU	摂,雪,瀬
seba	狹,狭
sebone	呂,膂
segare	伜,倅,忰,悴
seguku	跼
sei	丗,丼,倩,儕,凄,劑,嘶,壻,婿,彁,彗,悽,惺,掣,撕,擠,旌,晟,晢,栖,栴,棲,橇,毳,汐,洒,淒,淨,濟,瀞,犀,猩,甥,畷,眥,眦,睛,砌,穽,筬,筮,聟,聲,脆,脊,腥,臍,芹,菁,萋,薺,蛻,蜻,貰,贅,躋,逝,醒,鉦,錆,霽,靜,韲,鯖,齊,齎,齏,姓,蒸,誓,靖,星,精,背,静,盛,清,青,征,浄,生,請,政,整,牲,聖,声,製,斉,勢,井,情,歳,剤,晴,誠,省,済,西,世,正,瀬,成,性,制
seisyu	鹹
seki	勣,咳,喘,尺,戚,拆,斥,晰,槭,汐,淅,炙,瘠,皙,碩,碵,磧,簀,脊,腋,舍,蓆,藉,蜥,螫,裼,跖,蹐,蹙,蹟,蹠,迹,釋,鉐,錫,關,髢,鶺,齣,堰,寂,惜,隻,跡,関,績,責,積,赤,席,昔,舎,釈,石,析,潟,籍,夕,折
sekku	石
seko	逧,迫
seku	齪
sema	拶,狹,窄,褊,逎,逼,遒,阨,陋,陜,隘,齪,迫,狭
seme	譴,鬩
semi	蜩,蝉
semusi	佝,傴,瘻,駝
sen	串,亘,亶,仟,倩,僉,僊,僣,僭,刋,剪,吮,喘,塹,嬋,孅,孱,專,尖,尠,巛,彡,悛,戔,戰,扇,拈,揃,摶,撰,擅,擶,斬,旃,旋,暹,栓,栫,栴,桟,棧,槧,槫,殱,殲,氈,沾,洒,涎,淺,湶,潛,潺,澹,濳,濺,煎,煽,燹,牋,甎,疝,痊,癬,盞,瞻,磚,禅,禪,穿,笘,筅,筌,箋,箭,簒,簽,籖,籤,綫,纎,纖,羨,羶,翦,腺,膳,臉,舛,舩,芟,苫,茜,荐,蘚,蝉,蟾,詮,譖,譛,譫,賎,賤,贍,跣,踐,遷,銑,銓,銛,錢,鐫,閂,閃,闡,阡,陝,雋,霰,韆,顫,餞,饌,鱒,鹸,践,釧,千,山,占,選,鮮,潜,船,専,繊,洗,浅,線,仙,銭,先,泉,薦,宣,染,戦,川
senti	珊,糎
sentiguramu	甅
sentimeetoru	糎
sentirittoru	竰
sento	仙
seri	糴,糶,芹
seti	刹,緤,節
setu	刹,卩,啜,屑,截,拙,掣,摂,攝,晢,椄,楔,毳,泄,洩,浙,渫,窃,竊,紲,絏,緤,脆,膤,薛,褻,鑷,鞨,鱈,殺,接,説,切,雪,折,節,設
seu	尠,憔
sewa	忙
si	亊,仔,伺,侈,侍,俟,偲,匙,卮,厠,厮,厶,只,吏,呰,咨,咫,啻,嗜,嗣,嗤,嘴,址,塒,夷,妛,孳,宍,尸,屍,屎,岻,嵯,巳,巵,帋,幟,廁,廝,弑,弛,徙,恃,恣,懋,揣,摯,撕,斯,晒,朿,枳,柿,梓,梔,檮,欣,此,殞,沁,沚,泗,滓,滲,漬,熾,獅,瓷,畤,疵,痣,痴,癡,眥,眦,砥,祀,祇,祗,祠,稠,竢,笥,笶,篩,粢,絲,緇,縒,翅,耆,耜,肆,舐,苡,茲,葆,葹,蒔,蓍,蚩,覗,觜,誣,諡,謚,豕,貲,賜,贄,趺,趾,輜,釶,錙,閇,阯,雌,飴,駛,駟,髭,鮨,鯔,鰓,鰤,鴟,鵄,鷙,齎,齒,孜,磯,紫,肢,脂,詞,之,治,執,志,占,締,シ,子,司,七,新,清,し,後,凍,姉,柴,脚,諮,飼,林,史,師,自,姿,紙,四,市,守,仕,旨,枝,滋,糸,絞,詩,試,視,施,士,也,是,歯,矢,至,石,止,私,死,示,己,敷,芝,茂,茨,住,始,十,使,次,刺,祉,信,資,宗,閉,初,指,知,支,誌,酒,強,思,氏,染
siTU	七
siawa	倖,幸
siba	縛,柴,芝
sibara	頃,暫
sibaraku	姑
sibasiba	亟,屡,數,数
sibe	蕊,蕋,蘂,標
sibi	痲,痺,鮪
sibo	凋,搾,皺,萎,葦,絞
sibori	纈
sibu	澀,澁,渋,信
sibuki	沫
side	幣,椣
sidu	静
siga	信
sigara	柵
sigarami	柵
sige	咸,孳,廡,慈,欝,穣,茸,蕃,薫,鬱,鎮,樹,順,滋,繁,茂,誠,重,瀬,成,恵,栄
sigeru	卯,楙,蕃,滋,重
sigesi	縟
sigi	鴫,鷸
siguma	羆
siha	芝
sii	弑,椎,罔,誣,後
siina	秕,粃
siita	虐
sika	叱,呵,咄,咤,爾,而,聢,訶,詆,顰,色,鹿,然,飾
sikabane	尸,屍
sikabanekanmuri	尸
sikari	兪,尓,爾
sikaruni	而
sikato	聢
siki	拭,軾,鋪,閾,餝,頻,織,色,城,識,式,敷
sikigamae	弋
sikigawara	甃,甎
sikii	閾
sikimi	梱,樒,櫁,軾
sikirini	仍,荐
siko	而,醜,色
sikoro	錏,錣,鐚
siku	衍,鋪
sima	嶌,嶼,縞,陦,洲,嶋,島
sime	濕,觀,諜,湿,観,示
simo	霜,下
simobe	僮,隷,隸,僕
simogasa	痔
simoto	楚,笞
simoyasiki	墅
simu	俾,占
sin	僣,僭,參,呻,哂,唇,嗔,娠,宍,宸,寢,岑,忱,怎,愼,抻,斟,晉,晋,晨,枕,椹,榛,槇,槙,沁,滲,瀋,甄,畛,疹,眞,瞋,矧,秦,箴,簪,紳,縉,脣,臻,芯,蓁,蓼,蔘,蕈,薪,蜃,袗,襯,訊,譖,譛,讖,賑,贐,軫,酳,鍼,鐔,駸,鷆,鷏,齔,辛,辰,普,震,伸,津,新,清,森,浸,針,振,深,請,申,審,親,沈,真,身,寝,臣,神,参,侵,慎,診,信,心,進
sina	撓,粃,綽,萎,葦,靫,靭,靱,級,階,姿,科,信,品
sinaya	嫋
sine	稲
sinigamae	歹
sinnotatu	辰
sino	偲,凌,筱,忍,笹,篠,東,信
sinobigoto	誄
sinobu	荵,仁
sinogi	鎬
sinogu	駕
sinu	歿
sinyou	支
sio	撓,汐,萎,葦,鹵,鹽,塩,潮
siokara	醢
siokarai	鹹
sioke	鹹
siori	栞
sioti	鹵
sira	按,檢,覈,調,白,検
sirami	虱,蝨
sirase	訃
sire	知
siri	臀,後,尻,知
sirigai	紂,鞦
siringu	志
sirizo	卻,屏,擯,斥,逡,黜,退,却
siro	皎,皓,皙,皚,代,城,白
sirogane	銀
siroginu	縞
siroko	錏
sirotuti	堊
siru	汁,印,記
sirube	標
sirusi	徽,驗,瑞,印,標,験,徴
sisi	宍,獅,鹿,穴
sisibisio	醢
sita	慕,簧,舌,下,親,設
sitaga	从,倭,婉,徇,從,扈,遜,隨,隷,隸,馴,随,従
sitagaki	稾,稿
sitagau	順
sitagi	襦
sitata	溜,滴,澑,瀝,認
siti	叱,悉,貭,七,質
sito	淑,下
sitogi	粢
sitomi	蔀
sitone	茵,蓐,衽,袵,褥
situ	叱,嘯,嫉,實,悉,桎,櫛,漆,濕,瑟,疾,膝,虱,蛭,蝨,蟋,貭,躾,隰,隲,執,実,湿,失,室,質
situke	躾
siwa	吝,皴,皺,襞
siwabu	咳
siwabuki	咳,謦
siyau	精
sizi	榻
sizimi	蜆
sizu	填,汨,沒,淪,湎,湛,湮,賎,賤,鎭,靜,鎮,靖,静,沈,没
sizuka	禅,禪,謐,闃,靜
sizuku	滴,雫
so	且,俎,做,其,剃,剔,咀,噌,囎,塑,姐,岨,徂,怎,惣,愬,曾,杵,柘,柤,梳,楚,沮,泝,涅,溯,爼,甦,疋,疏,疽,砠,祚,租,胙,胥,苴,蔬,蘇,蘓,蛆,詛,踈,遡,酥,鋤,麁,鼠,鼡,齟,疎,磯,粗,荘,逸,削,狙,素,ソ,そ,左,殺,庄,征,阻,生,想,早,曽,添,礎,祖,訴,夫,十,反,沿,宗,初,組,措,染,草
soba	岨,蕎,傍,側
sobada	屹,峙,崛,欹
sobame	妾
sobi	聳
soda	毓,育
sode	袖
soe	弐,貮,貳,添,副
soeuma	驂
sogi	枌
soi	副,襲
soko	椢,底,損
sokona	殘,損,残
soku	仄,喞,嗽,嗾,塞,惻,戚,捉,數,昃,熄,燭,矚,簇,粟,趨,鏃,齪,測,則,速,足,即,職,側,促,束,数,息
soma	杣,仙
some	染
somu	乖,伐,叛,舛,韋,背
son	噂,巽,忖,拵,栫,樽,洒,蹲,遜,邨,餐,鱒,齔,損,存,孫,尊,村,成
sona	膳,饌,具,供,備
sone	妬,嫉
sono	厥,囿,尓,爾,苑,茆,彼,園
soo	宗
sora	昊,穹,諳,諷,霄,空
sore	厥
soregasi	某
sori	橇,膤,艝,轌,釖,刀,反
soro	對,揃,齊,対,算,斉
sos	卆,卒
sosi	毀,詆,誹,謗,譏,譖,譛,讒
soso	沃,溌,漑,潅,澆,濺,灌,灑,盥,注
sosonoka	嗾,唆
soti	伜,倅
soto	外
sotu	伜,倅,卆,埣,猝,卒,率
sou	丗,偬,冏,剏,剿,勦,匆,匝,卅,叟,叢,哈,嗽,嗾,噌,噪,囃,壯,奘,奬,妝,娵,嫂,孀,宋,將,崢,帚,廂,弉,怱,惣,愡,愴,憔,懆,找,抓,挿,捷,掫,掻,插,搜,搶,曹,曾,棕,棗,椶,槍,樔,歃,淙,湊,溲,滄,漕,漱,澡,瀧,炒,燥,爪,爭,爽,爿,牀,猩,獎,甑,甥,痩,瘡,稍,窗,竃,竈,笊,笙,筝,箏,箒,簇,籔,粟,粽,糟,綜,總,聡,聰,臧,艘,艙,艚,艸,莊,菷,葱,蒋,蒼,蔟,薔,薮,藏,藪,藻,蚤,蛸,裝,諍,諏,譟,賍,贓,赱,踪,蹌,躁,輳,銷,錚,鎗,鏘,鐺,雙,霎,霜,鞘,颯,騷,髞,鬆,鮹,鯵,鰤,鰺,僧,壮,桑,槽,滝,荘,遭,倉,層,相,将,装,蔵,走,捜,奨,巣,庄,掃,生,想,早,曽,箱,争,三,双,喪,送,窓,騒,十,操,世,宗,贈,奏,総,創,繰,草,葬
soukou	艸
sourou	候
souzite	惣
soyogu	戰,戦
sozoroni	坐
su	剃,叢,吮,呷,壽,娵,崇,拗,捐,掏,搨,摺,擂,數,朱,栖,梳,棲,樔,歙,漉,漱,澂,濟,爲,窗,笊,笥,箝,簀,簾,綜,總,耡,芻,蒭,蘇,蘓,諏,酢,醋,釋,鋤,隙,雛,饐,鬚,鷲,麈,寸,据,擦,洲,澄,珠,菅,棄,為,角,主,代,素,す,子,周,妹,巣,磨,陶,好,月,守,刷,寿,摩,須,助,ス,酸,釈,過,州,空,吸,捨,窓,透,住,直,統,済,西,首,日,総,数
suTU	出,寿
subaru	昴
sube	凡,渾,總,辷,全,術,滑,総
subekara	須
subesi	須
subo	窄
sudama	魑
sudare	箔,簾
sude	已,既
sudenotukuri	旡
sue	甄,居,陶,末,季
suga	縋,菅,清,管
sugame	眇
sugata	姿
suge	菅
sugi	叩,椙,軼,生,杉
sugiru	宕
sugo	凄,淒,菅
sugu	傑,儁,儻,杰,雋,駿,優,直,勝
suguru	卓,英,俊,豪
sui	劑,埀,壘,夊,崔,帥,彗,忰,悴,惴,捶,揣,椎,榱,燧,瘁,睡,祟,穗,粋,粹,綏,翆,翠,膵,萃,觜,誰,邃,醉,錐,錘,陲,隋,隧,隹,雖,騅,垂,氷,炊,瑞,衰,酔,塁,遂,推,出,穂,剤,吹,水
suinyou	夊
suka	賺
suke	丞,佑,允,弼,甫,亮,哉,祐,輔,相,介,右,昌,助,佐,典,資,裕,賃
suki	犁,犂,罅,耒,耜,耡,耨,釁,銛,鋤,錢,鍬,隙,次,銭
suko	健,少
sukobu	頗
sukosi	毫
suku	丞,匡,抔,拯,掬,樔,淑,濟,竦,肅,贍,粛,宿,城,少,句,済,救
sukumo	粭,糘
sukumomusi	蝎
sukuna	尠
suma	澂
sumi	栖,綴,陬,隈,墨,澄,隅,角,清,速,寿,炭,住,純
sumire	菫
sumiyaka	亟,遽
sumomo	李
sumu	済
sun	吋,駿,寸
suna	沙,砂
sunao	淳
sunawa	乃,廼,迺,即
sunawati	曾,而,輒,輙,曽
sune	脛,臑,強
suno	墨,春
sunori	規
suppon	鼇,鼈
suru	摺,駿
surudo	尖,鋭
surume	鯣
susa	凄,淒,荒
susi	鮓,鮨
suso	裔,裾
susu	侑,勸,啜,嗽,奬,廸,慂,慫,晉,晋,歃,洒,漱,濯,煤,獎,膳,迪,邁,陟,澄,奨,勧,薦,進
susuki	芒,薄
susume	羞
susumi	晋,迪
susumu	侑,晋,迪,将,奏
susurina	歔
suta	廢,廃
sute	弃
sutu	出
suu	崇,嵩,數,枢,樞,皺,芻,菘,蒭,趨,鄒,陬,雛,数
suwa	坐,座
suwae	楚
suzi	條,綫,脉,脈,条,線,筋
suzu	凉,涼,篶,紗,錫,鐸,鑾,鈴
suzuki	鱸
suzume	雀
suzuri	硯
sya	シャ,些,偖,冩,叉,嗟,奢,姐,娑,寫,柘,沙,洒,瀉,灑,炙,畭,紗,舍,苴,莎,蔗,藉,裟,豫,貰,赦,赭,這,遮,鉈,鯊,鷓,麝,斜,写,左,しゃ,卸,煮,者,社,舎,釈,捨,謝,予,車,砂,射
syabe	喋
syaga	嗄,躑
syake	鮭
syako	積
syaku	勣,勺,呎,嚼,妁,尺,斫,晰,杓,灼,爍,爵,癪,皙,笏,筰,綽,芍,蜥,蹟,迹,酌,釋,錫,鑠,雀,鵲,齣,錯,赤,昔,釈,石,借
syamo	鶤
syan	上
syao	小
syati	鯱
syatihoko	鯱
syo	ショ,且,俎,咀,埜,墅,岨,嶼,恕,抒,杵,杼,楚,沮,渚,爼,疋,疏,疽,砠,絮,胥,舒,苴,蔗,蔬,薯,藷,處,蛆,蜍,詛,踈,鋤,雎,黍,鼠,鼡,齟,庶,暑,疎,狙,諸,野,所,しょ,曙,署,処,松,緒,初,書
syoku	厠,喞,嗇,嘱,囑,埴,寔,屬,廁,惻,拭,昃,昵,燭,矚,禝,稙,稷,穡,粟,續,薔,蜀,蝕,觸,謖,贖,軾,餝,属,植,織,色,殖,食,飾,職,続,触
